sql,sentences_fr
SELECT count(*) FROM head WHERE age > 56,Combien de chefs de service ont plus de 56 ans ?
"SELECT name , born_state , age FROM head ORDER BY age","Indiquez le nom, l'état de naissance et l'âge des chefs de département classés par âge."
"SELECT creation , name , budget_in_billions FROM department","Indiquez l'année de création, le nom et le budget de chaque département."
"SELECT max(budget_in_billions) , min(budget_in_billions) FROM department",Quels sont le budget maximum et minimum des départements ?
SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,Quel est le nombre moyen d'employés des départements dont le rang est compris entre 10 et 15 ?
SELECT name FROM head WHERE born_state != 'California',Quels sont les noms des chefs qui sont nés en dehors de l'État de Californie ?
SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama',Quelles sont les années de création distinctes des départements gérés par une secrétaire née dans l'état « Alabama » ?
SELECT born_state FROM head GROUP BY born_state HAVING count(*) >= 3,Quels sont les noms des états où au moins 3 têtes sont nées ?
SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,En quelle année la plupart des départements ont-ils été créés ?
"SELECT T1.name , T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'",Afficher le nom et le nombre d'employés pour les départements gérés par des chefs dont la valeur d'intérim temporaire est 'Oui' ?
SELECT count(DISTINCT temporary_acting) FROM management,Combien y a-t-il de statuts intérimaires ?
SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,Combien de départements sont dirigés par des chefs qui ne sont pas mentionnés ?
SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes',Quels sont les âges distincts des chefs qui agissent?
SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Homeland Security',Énumérez les États où le secrétaire du département « Trésor » et le secrétaire de la « Sécurité intérieure » ​​sont nés.
"SELECT T1.department_id , T1.name , count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING count(*) > 1","Quel département a plus d'un chef à la fois ? Indiquez l'identifiant, le nom et le nombre de têtes."
"SELECT head_id , name FROM head WHERE name LIKE '%Ha%'",Quel nom de tête a la sous-chaîne 'Ha' ? Indiquez l'identifiant et le nom.
SELECT count(*) FROM farm,Combien y a-t-il de fermes ?
SELECT count(*) FROM farm,Comptez le nombre de fermes.
SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,Énumérez le nombre total de chevaux dans les fermes par ordre croissant.
SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"Quel est le nombre total de chevaux pour chaque ferme, trié par ordre croissant ?"
SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens',"Quels sont les animateurs des compétitions dont le thème n'est pas ""Aliens"" ?"
SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens',Renvoyer les hôtes de compétitions dont le thème n'est pas Aliens ?
SELECT Theme FROM farm_competition ORDER BY YEAR ASC,Quels sont les thèmes des concours agricoles triés par année par ordre croissant ?
SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"Retourner les thèmes des concours agricoles, triés par année ascendante."
SELECT avg(Working_Horses) FROM farm WHERE Total_Horses > 5000,Quel est le nombre moyen de chevaux de trait des élevages de plus de 5000 chevaux au total ?
SELECT avg(Working_Horses) FROM farm WHERE Total_Horses > 5000,Donnez le nombre moyen de chevaux de trait dans les exploitations de plus de 5 000 chevaux au total.
"SELECT max(Cows) , min(Cows) FROM farm",Quel est le nombre maximum et minimum de vaches dans toutes les fermes.
"SELECT max(Cows) , min(Cows) FROM farm",Renvoie le nombre maximum et minimum de vaches dans toutes les fermes.
SELECT count(DISTINCT Status) FROM city,Combien de statuts différents les villes ont-elles ?
SELECT count(DISTINCT Status) FROM city,Comptez le nombre de statuts différents.
SELECT Official_Name FROM city ORDER BY Population DESC,Énumérez les noms officiels des villes par ordre décroissant de population.
SELECT Official_Name FROM city ORDER BY Population DESC,"Quels sont les noms officiels des villes, classés par ordre décroissant de population ?"
"SELECT Official_Name , Status FROM city ORDER BY Population DESC LIMIT 1",Indiquez le nom officiel et le statut de la ville la plus peuplée.
"SELECT Official_Name , Status FROM city ORDER BY Population DESC LIMIT 1",Quel est le nom officiel et le statut de la ville qui compte le plus d'habitants ?
"SELECT T2.Year , T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID",Afficher les années et les noms officiels des villes hôtes des compétitions.
"SELECT T2.Year , T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID",Donnez les années et les noms officiels des villes de chaque concours.
SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1,Affichez les noms officiels des villes qui ont accueilli plus d'une compétition.
SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1,Quels sont les noms officiels des villes qui ont accueilli plus d'un concours ?
SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Montrez le statut de la ville qui a accueilli le plus grand nombre de compétitions.
SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Quel est le statut de la ville qui a accueilli le plus de compétitions ?
SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,Veuillez indiquer les thèmes des compétitions avec des villes hôtes ayant des populations supérieures à 1000.
SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,Quels sont les thèmes des concours auxquels correspondent des villes hôtes de plus de 1000 habitants ?
"SELECT Status , avg(Population) FROM city GROUP BY Status",Veuillez indiquer les différents statuts des villes et la population moyenne des villes avec chaque statut.
"SELECT Status , avg(Population) FROM city GROUP BY Status",Quels sont les statuts et les populations moyennes de chaque ville ?
SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Veuillez afficher les différents statuts, classés par le nombre de villes qui ont chacun."
SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Renvoie les différents statuts des villes, en ordre croissant de fréquence."
SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,Énumérez le type de statut le plus courant dans les villes.
SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,Quel est le statut le plus courant dans toutes les villes ?
SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),Énumérez les noms officiels des villes qui n'ont pas organisé de concours.
SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),Quels sont les noms officiels des villes qui n'ont pas accueilli de concours agricole ?
SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,Afficher le statut partagé par les villes dont la population est supérieure à 1 500 et inférieure à 500.
SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,Quels statuts correspondent à la fois aux villes de plus de 1500 habitants et aux villes de moins de 500 habitants ?
SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,Trouvez les noms officiels des villes dont la population est supérieure à 1 500 ou inférieure à 500.
SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,Quels sont les noms officiels des villes qui comptent plus de 1 500 habitants ou moins de 500 habitants ?
"SELECT Census_Ranking FROM city WHERE Status != ""Village""","Afficher le classement au recensement des villes dont le statut n'est pas ""Village""."
"SELECT Census_Ranking FROM city WHERE Status != ""Village""","Quels sont les classements au recensement des villes qui n'ont pas le statut ""Village"" ?"
